ticket_id,opened_at,category,subcategory,assignment_group,priority,short_description,work_notes,close_notes,status,business_unit,location,country,state
INC0004164,2025-01-13 19:55,Hardware,Endpoint,Desktop Support,2 - High,running slow on docking station,User reports docking station no display. Diagnostics flagged the fan. cleaned the fan vents.,"reimaged the laptop; docking station stable, blue screen resolved.",Closed Complete,Sales & Marketing,London HQ,United Kingdom,England
INC0004271,2025-01-14 08:56,Security,Identity & Access,Service Desk,4 - Low,MFA MFA not prompting,New starter needs the token. re-enrolled MFA per the access request.,Resolved permission missing after reset the password. Access verified.,Closed,Retail Banking,Dallas Office,United States,Texas
INC0004058,2025-01-14 16:39,Software,Email & Collaboration,Messaging Support,4 - Low,Microsoft 365 stuck in outbox for user meeting invite,User reports Microsoft 365 missing emails. Confirmed mailbox is online. ran a repair on Office.,"Added user to the shared inbox. Verified mail delivery, closing ticket.",Closed Complete,Corporate Functions,Mumbai Campus,India,Maharashtra
INC0004180,2025-01-15 05:43,Software,Email & Collaboration,Messaging Support,3 - Moderate,Outlook Web App missing emails,User reports Outlook search not working. Confirmed mailbox is online. cleared the cache.,checked Exchange mailbox quota; user confirms Microsoft 365 working and emails flowing.,Closed,Manufacturing,Manchester Office,United Kingdom,England
INC0004197,2025-01-16 00:07,Hardware,Cross-functional,Desktop Support,3 - Moderate,Network printer offline after switch maintenance,Printer showing offline. Suspected the DNS record. renewed the DHCP lease then reinstalled the print driver.,"renewed the DHCP lease and reinstalled the print driver. Printer back online, test page prints.",Closed Complete,Healthcare Services,Toronto Office,Canada,Ontario
INC0004291,2025-01-16 20:34,Software,Applications,Application Support,4 - Low,Install request for Zoom,"License request for Adobe Acrobat. Verified entitlement, cleared the application cache.",Applied the plugin and recreated the user profile. Closing ticket.,Closed Complete,Healthcare Services,Frankfurt DC,Germany,Hesse
INC0004097,2025-01-17 00:13,Hardware,Printing,Desktop Support,2 - High,Replace spooler on follow-me printing,Inspected the fuser. cleared the paper jam from the tray to clear the paper jam.,Replaced the print queue and power cycled the device. Printing restored.,Closed,Manufacturing,Manchester Office,United Kingdom,England
INC0004154,2025-01-17 06:22,Network,Cross-functional,Network Operations,4 - Low,VPN login failing - account and connection both checked,VPN access denied; suspected the account. synced the account in Active Directory then reconnected the VPN client on the VPN client.,synced the account in Active Directory and reconnected the VPN client. VPN connection authenticates. Closed.,Resolved,Retail Banking,New York Office,United States,New York
INC0004107,2025-01-17 15:01,Network,Connectivity,Network Operations,2 - High,Ethernet slow speeds,"VPN authentication failed. Verified credentials, checked the switch port.",Resolved dropping connection after renewed the DHCP lease. Latency back to normal.,Closed Complete,Corporate Functions,San Jose Office,United States,California
INC0004227,2025-01-18 12:45,Hardware,Printing,Desktop Support,2 - High,Cannot print to HP LaserJet - out of toner,Job stuck in the toner cartridge. restarted the print server and released the job successfully.,Cleared paper jam after reinstalled the print driver. User confirms output is good.,Resolved,Logistics & Supply Chain,Frankfurt DC,Germany,Hesse
INC0004210,2025-01-18 23:12,Hardware,Printing,Desktop Support,3 - Moderate,prints blank pages on print server,Job stuck in the spooler. power cycled the device and released the job successfully.,Cleared paper jam after reinstalled the print driver. User confirms output is good.,Closed,Logistics & Supply Chain,San Jose Office,United States,California
INC0004074,2025-01-19 23:41,Software,Email & Collaboration,Messaging Support,3 - Moderate,Request to add member to signature,Checked the calendar permissions in Exchange admin center. removed and re-added the account and tested.,ran a repair on Office; user confirms Exchange working and emails flowing.,Closed,Retail Banking,Manchester Office,United Kingdom,England
INC0004163,2025-01-20 09:17,Security,Identity & Access,Service Desk,2 - High,account locked - VPN portal,"User forgot password. Verified identity, then reset the MFA token in Active Directory.",Resolved account locked after reset the MFA token. Access verified.,Closed,Sales & Marketing,San Jose Office,United States,California
INC0004028,2025-01-20 14:39,Network,Connectivity,Network Operations,1 - Critical,Cannot map network drive,Wireless cannot reach network drive traced to a weak access point. updated the wireless driver.,"reconnected the VPN client; Ethernet stable, user confirms connection restored.",Closed Complete,Retail Banking,Toronto Office,Canada,Ontario
INC0004234,2025-01-21 13:12,Security,Identity & Access,Service Desk,3 - Moderate,access denied - VPN portal,New starter needs the account. reset the MFA token per the access request.,synced the account in Active Directory; user confirms login to SSO successful.,Closed,Manufacturing,San Jose Office,United States,California
INC0004128,2025-01-21 14:12,Hardware,Endpoint,Desktop Support,3 - Moderate,blue screen on laptop,Laptop flickering screen. cleaned the fan vents and ran a stress test.,Replaced the power adapter and swapped the docking station. Device passes diagnostics.,Resolved,Logistics & Supply Chain,Sydney Hub,Australia,New South Wales
INC0004304,2025-01-21 14:36,Hardware,Endpoint,Desktop Support,2 - High,battery not charging on monitor,Laptop loud fan noise. swapped the docking station and ran a stress test.,Fixed won't power on after reimaged the laptop. User confirms docking station working.,Resolved,Healthcare Services,San Jose Office,United States,California
INC0004218,2025-01-22 08:34,Network,Connectivity,Network Operations,3 - Moderate,firewall cannot connect,User cannot connect on firewall. Ran tracert and saw high latency. updated the wireless driver.,Fixed the DNS record. renewed the DHCP lease and verified the network drive maps.,Closed,Corporate Functions,Manchester Office,United Kingdom,England
INC0004072,2025-01-22 11:38,Software,Applications,Application Support,3 - Moderate,Install request for Zoom,error on startup traced to a corrupt installation. ran the installer as admin and tested launch.,disabled the conflicting add-in; Excel launches without errors.,Resolved,Corporate Functions,Toronto Office,Canada,Ontario
INC0004177,2025-01-22 18:00,Software,Applications,Application Support,3 - Moderate,keeps crashing - Excel,"User reports Excel error on startup. Reviewed logs, reapplied the license key.",Applied the plugin and disabled the conflicting add-in. Closing ticket.,Closed Complete,Retail Banking,Toronto Office,Canada,Ontario
INC0004208,2025-01-23 01:41,Hardware,Cross-functional,Desktop Support,3 - Moderate,Network printer offline after switch maintenance,Printer showing offline. Suspected the IP address. flushed the DNS cache then reinstalled the print driver.,"flushed the DNS cache and reinstalled the print driver. Printer back online, test page prints.",Closed Complete,Retail Banking,Dallas Office,United States,Texas
INC0004250,2025-01-24 11:10,Software,Email & Collaboration,Messaging Support,3 - Moderate,Outlook Web App duplicate emails,"Mailbox over quota causing stuck in outbox. Archived old items, then reset the autocomplete cache.",Resolved cannot send after reset the autocomplete cache. Mailbox syncing normally.,Closed Complete,Sales & Marketing,San Jose Office,United States,California
INC0004319,2025-01-24 18:06,Network,Cross-functional,Network Operations,2 - High,VPN login failing - account and connection both checked,VPN access denied; suspected the account. granted the requested permission then flushed the DNS cache on the VPN client.,granted the requested permission and flushed the DNS cache. VPN connection authenticates. Closed.,Resolved,Sales & Marketing,Dallas Office,United States,Texas
INC0004095,2025-01-24 18:32,Software,Applications,Application Support,2 - High,Install request for SAP,freezes on launch traced to a corrupt profile. repaired the installation and tested launch.,Applied the plugin and reapplied the license key. Closing ticket.,Closed,Corporate Functions,London HQ,United Kingdom,England
INC0004039,2025-01-24 20:33,Hardware,Endpoint,Desktop Support,2 - High,display cable failure on docking station,Laptop running slow. cleaned the fan vents and ran a stress test.,Fixed flickering screen after reimaged the laptop. User confirms laptop working.,Closed Complete,Healthcare Services,Dallas Office,United States,Texas
INC0004190,2025-01-24 23:17,Network,Connectivity,Network Operations,3 - Moderate,User cannot connect on Wi-Fi,User cannot reach network drive on Ethernet. Ran tracert and saw high latency. renewed the DHCP lease.,"flushed the DNS cache; VPN stable, user confirms connection restored.",Resolved,Retail Banking,London HQ,United Kingdom,England
INC0004241,2025-01-24 23:28,Hardware,Endpoint,Desktop Support,2 - High,running slow on headset,User reports laptop won't power on. Diagnostics flagged the power adapter. reimaged the laptop.,Replaced the USB port and reimaged the laptop. Device passes diagnostics.,Closed Complete,Manufacturing,Sydney Hub,Australia,New South Wales
INC0004243,2025-01-25 23:03,Hardware,Cross-functional,Desktop Support,3 - Moderate,Network printer offline after switch maintenance,Printer showing offline. Suspected the network drive. renewed the DHCP lease then power cycled the device.,"renewed the DHCP lease and power cycled the device. Printer back online, test page prints.",Closed,Retail Banking,Manchester Office,United Kingdom,England
INC0004126,2025-01-26 02:21,Hardware,Cross-functional,Desktop Support,4 - Low,Network printer offline after switch maintenance,Printer showing offline. Suspected the DHCP lease. reconnected the VPN client then cleared the paper jam from the tray.,"reconnected the VPN client and cleared the paper jam from the tray. Printer back online, test page prints.",Closed Complete,Sales & Marketing,London HQ,United Kingdom,England
INC0004293,2025-01-26 10:31,Network,Connectivity,Network Operations,2 - High,User slow speeds on VPN,Wireless cannot reach network drive traced to a weak connection. reseated the Ethernet cable.,"moved the user to a clean access point; VLAN stable, user confirms connection restored.",Resolved,Healthcare Services,Dallas Office,United States,Texas
INC0004079,2025-01-26 19:36,Hardware,Printing,Desktop Support,3 - Moderate,network printer out of toner,Driver mismatch causing error 49. power cycled the device and printed a test page.,Cleared paper jam after cleared the paper jam from the tray. User confirms output is good.,Resolved,Corporate Functions,Toronto Office,Canada,Ontario
INC0004254,2025-01-27 04:07,Software,Email & Collaboration,Messaging Support,3 - Moderate,Exchange cannot receive,"Mailbox over quota causing not syncing. Archived old items, then checked Exchange mailbox quota.",Resolved duplicate emails after rebuilt the OST file. Mailbox syncing normally.,Resolved,Healthcare Services,Manchester Office,United Kingdom,England
INC0004296,2025-01-27 19:48,Security,Identity & Access,Service Desk,3 - Moderate,User password expired,"User MFA not prompting. Verified identity, then reset the password in Active Directory.",Granted password and granted the requested permission. Closing per requester confirmation.,Resolved,Manufacturing,San Jose Office,United States,California
INC0004172,2025-01-27 21:14,Hardware,Printing,Desktop Support,4 - Low,Cannot print to print server - stuck in queue,Driver mismatch causing streaks on page. reinstalled the print driver and printed a test page.,"replaced the toner cartridge; test page prints clean, stuck in queue resolved.",Closed Complete,Corporate Functions,New York Office,United States,New York
INC0004298,2025-01-28 14:27,Software,Email & Collaboration,Messaging Support,4 - Low,Request to add member to contact,Verified the distribution list configuration. reset the autocomplete cache to resolve the sync error.,Resolved duplicate emails after rebuilt the OST file. Mailbox syncing normally.,Closed Complete,Logistics & Supply Chain,Toronto Office,Canada,Ontario
INC0004289,2025-01-28 17:19,Security,Identity & Access,Service Desk,4 - Low,forgot password - Okta,forgot password on the login. reset the MFA token and confirmed login works.,Resolved needs access after added the user to the security group. Access verified.,Closed,Logistics & Supply Chain,Toronto Office,Canada,Ontario
INC0004051,2025-01-28 18:04,Security,Identity & Access,Service Desk,3 - Moderate,Request security group for new starter,"User account locked. Verified identity, then granted the requested permission in Okta.",granted the requested permission; user confirms login to VPN portal successful.,Closed Complete,Corporate Functions,London HQ,United Kingdom,England
INC0004315,2025-01-29 13:50,Security,Identity & Access,Service Desk,3 - Moderate,MFA cannot login,New starter needs the token. synced the account in Active Directory per the access request.,added the user to the security group; user confirms login to VPN portal successful.,Closed Complete,Retail Banking,Sydney Hub,Australia,New South Wales
INC0004092,2025-01-30 05:14,Software,Email & Collaboration,Messaging Support,3 - Moderate,User cannot access meeting invite in Outlook,"Mailbox over quota causing not syncing. Archived old items, then rebuilt the OST file.","Added user to the mailbox. Verified mail delivery, closing ticket.",Resolved,Retail Banking,Toronto Office,Canada,Ontario
INC0004105,2025-01-30 14:42,Hardware,Endpoint,Desktop Support,3 - Moderate,USB port failure on webcam,"flickering screen when docked. Tested a known-good RAM, then ran hardware diagnostics.",Fixed flickering screen after replaced the power adapter. User confirms webcam working.,Resolved,Logistics & Supply Chain,Sydney Hub,Australia,New South Wales
INC0004149,2025-01-31 04:55,Software,Applications,Application Support,3 - Moderate,SAP shortcut slow to load,"License request for Adobe Acrobat. Verified entitlement, reinstalled the application.",cleared the application cache; Adobe Acrobat launches without errors.,Closed Complete,Healthcare Services,Mumbai Campus,India,Maharashtra
INC0004050,2025-01-31 07:07,Hardware,Printing,Desktop Support,3 - Moderate,paper jam on network printer,Inspected the spooler. cleared the paper jam from the tray to clear the streaks on page.,Replaced the spooler and replaced the toner cartridge. Printing restored.,Closed,Corporate Functions,Manchester Office,United Kingdom,England
INC0004023,2025-01-31 19:29,Security,Identity & Access,Service Desk,2 - High,password expired - VPN portal,"User access denied. Verified identity, then unlocked the account in SSO.",Granted account and verified identity per policy. Closing per requester confirmation.,Resolved,Sales & Marketing,London HQ,United Kingdom,England
INC0004119,2025-01-31 19:40,Hardware,Printing,Desktop Support,2 - High,network printer paper jam,Job stuck in the fuser. power cycled the device and released the job successfully.,Cleared error 49 after replaced the toner cartridge. User confirms output is good.,Closed Complete,Corporate Functions,San Jose Office,United States,California
INC0004318,2025-02-01 06:09,Hardware,Printing,Desktop Support,3 - Moderate,Cannot print to network printer - streaks on page,Driver mismatch causing stuck in queue. cleared the paper jam from the tray and printed a test page.,Replaced the print driver and replaced the toner cartridge. Printing restored.,Closed,Manufacturing,Dallas Office,United States,Texas
INC0004019,2025-02-01 14:40,Software,Email & Collaboration,Messaging Support,3 - Moderate,Request to add member to distribution list,"Mailbox over quota causing stuck in outbox. Archived old items, then reset the autocomplete cache.",Resolved not syncing after ran a repair on Office. Mailbox syncing normally.,Resolved,Retail Banking,London HQ,United Kingdom,England
INC0004262,2025-02-01 17:07,Software,Applications,Application Support,3 - Moderate,Install request for Adobe Acrobat,missing add-in traced to a corrupt add-in. ran the installer as admin and tested launch.,Applied the update and pushed the update via SCCM. Closing ticket.,Resolved,Retail Banking,Toronto Office,Canada,Ontario
INC0004232,2025-02-02 06:22,Hardware,Endpoint,Desktop Support,4 - Low,battery failure on laptop,"overheating when docked. Tested a known-good USB port, then reseated the RAM.",Fixed no display after reimaged the laptop. User confirms headset working.,Resolved,Sales & Marketing,Dallas Office,United States,Texas
INC0004196,2025-02-02 11:56,Network,Connectivity,Network Operations,3 - Moderate,Cannot map DNS record,Wireless slow speeds traced to a weak VPN client. renewed the DHCP lease.,Fixed the switch port. moved the user to a clean access point and verified the network drive maps.,Closed,Sales & Marketing,Frankfurt DC,Germany,Hesse
INC0004229,2025-02-02 17:32,Hardware,Endpoint,Desktop Support,4 - Low,monitor overheating,Hardware fault on the display cable causing won't power on. swapped the docking station.,"replaced the battery; laptop stable, battery not charging resolved.",Resolved,Healthcare Services,Frankfurt DC,Germany,Hesse
INC0004171,2025-02-03 03:22,Network,Connectivity,Network Operations,4 - Low,User cannot connect on DNS,Checked the access point; found a stale entry. checked the switch port and tested connectivity.,"flushed the DNS cache; VLAN stable, user confirms connection restored.",Closed Complete,Healthcare Services,Sydney Hub,Australia,New South Wales
INC0004274,2025-02-03 07:51,Software,Cross-functional,Application Support,4 - Low,Outlook add-in for the line-of-business app missing,The meeting invite add-in disappeared from Outlook. recreated the user profile to restore it.,recreated the user profile; the Outlook add-in loads and emails send. Resolved.,Closed Complete,Manufacturing,Mumbai Campus,India,Maharashtra
INC0004016,2025-02-03 13:44,Software,Applications,Application Support,4 - Low,Excel won't install,won't install traced to a corrupt installation. recreated the user profile and tested launch.,Applied the shortcut and pushed the update via SCCM. Closing ticket.,Closed Complete,Logistics & Supply Chain,London HQ,United Kingdom,England
INC0004265,2025-02-04 01:32,Software,Applications,Application Support,4 - Low,missing add-in - the line-of-business app,Update license expired. ran the installer as admin and confirmed the app opens.,ran the installer as admin; Excel launches without errors.,Closed,Logistics & Supply Chain,Manchester Office,United Kingdom,England
INC0004152,2025-02-04 04:59,Software,Email & Collaboration,Messaging Support,4 - Low,Microsoft 365 missing emails,"Mailbox over quota causing stuck in outbox. Archived old items, then removed and re-added the account.","Added user to the meeting invite. Verified mail delivery, closing ticket.",Resolved,Logistics & Supply Chain,Manchester Office,United Kingdom,England
INC0004038,2025-02-04 11:38,Security,Identity & Access,Service Desk,4 - Low,User cannot login,MFA issue: permission missing. reset the MFA token and tested a sign-in.,Resolved access denied after granted the requested permission. Access verified.,Closed Complete,Sales & Marketing,Manchester Office,United Kingdom,England
INC0004264,2025-02-04 12:33,Hardware,Endpoint,Desktop Support,1 - Critical,Replace USB port - headset,User reports webcam loud fan noise. Diagnostics flagged the power adapter. ran hardware diagnostics.,"replaced the battery; keyboard stable, no display resolved.",Closed Complete,Retail Banking,Manchester Office,United Kingdom,England
INC0004231,2025-02-04 14:30,Network,Connectivity,Network Operations,2 - High,high latency over VLAN,User high latency on VPN. Ran tracert and saw high latency. updated the wireless driver.,Resolved cannot connect after renewed the DHCP lease. Latency back to normal.,Closed Complete,Manufacturing,Frankfurt DC,Germany,Hesse
INC0004130,2025-02-04 18:53,Hardware,Cross-functional,Desktop Support,4 - Low,Network printer offline after switch maintenance,Printer showing offline. Suspected the switch port. reconnected the VPN client then mapped the printer by IP.,"reconnected the VPN client and mapped the printer by IP. Printer back online, test page prints.",Closed,Corporate Functions,Manchester Office,United Kingdom,England
INC0004239,2025-02-05 01:30,Hardware,Cross-functional,Desktop Support,3 - Moderate,New laptop cannot connect to Wi-Fi after reimage,"Reimaged laptop running slow on Wi-Fi. Updated the wireless driver, moved the user to a clean access point.","replaced the battery and moved the user to a clean access point. Laptop online, user confirms connectivity.",Closed Complete,Retail Banking,Dallas Office,United States,Texas
INC0004202,2025-02-05 19:51,Hardware,Cross-functional,Desktop Support,3 - Moderate,Network printer offline after switch maintenance,Printer showing offline. Suspected the connection. reconnected the VPN client then restarted the print server.,"reconnected the VPN client and restarted the print server. Printer back online, test page prints.",Resolved,Manufacturing,London HQ,United Kingdom,England
INC0004273,2025-02-05 23:17,Network,Connectivity,Network Operations,3 - Moderate,high latency over firewall,User slow speeds on Wi-Fi. Ran tracert and saw high latency. reseated the Ethernet cable.,"reseated the Ethernet cable; Ethernet stable, user confirms connection restored.",Closed Complete,Manufacturing,Manchester Office,United Kingdom,England
INC0004178,2025-02-06 10:36,Hardware,Endpoint,Desktop Support,4 - Low,overheating on docking station,Laptop loud fan noise. swapped the docking station and ran a stress test.,Fixed overheating after updated the display driver. User confirms docking station working.,Closed,Retail Banking,San Jose Office,United States,California
INC0004245,2025-02-06 14:29,Hardware,Endpoint,Desktop Support,1 - Critical,docking station flickering screen,Laptop overheating. replaced the battery and ran a stress test.,Replaced the hard drive and cleaned the fan vents. Device passes diagnostics.,Closed,Retail Banking,Frankfurt DC,Germany,Hesse
INC0004242,2025-02-06 16:23,Software,Email & Collaboration,Messaging Support,4 - Low,Outlook Web App won't open,"Mailbox over quota causing won't open. Archived old items, then rebuilt the OST file.",Resolved not syncing after reset the autocomplete cache. Mailbox syncing normally.,Resolved,Corporate Functions,London HQ,United Kingdom,England
INC0004286,2025-02-06 21:07,Hardware,Endpoint,Desktop Support,3 - Moderate,Replace RAM - keyboard,User reports laptop no display. Diagnostics flagged the USB port. replaced the battery.,Fixed won't power on after replaced the power adapter. User confirms docking station working.,Resolved,Retail Banking,Toronto Office,Canada,Ontario
INC0004204,2025-02-07 02:53,Software,Applications,Application Support,2 - High,SAP profile license expired,won't install traced to a corrupt license. repaired the installation and tested launch.,recreated the user profile; Chrome launches without errors.,Resolved,Corporate Functions,Toronto Office,Canada,Ontario
INC0004134,2025-02-07 04:44,Software,Email & Collaboration,Messaging Support,3 - Moderate,Microsoft 365 cannot receive for user calendar,"Mailbox over quota causing cannot send. Archived old items, then removed and re-added the account.",Resolved not syncing after reset the autocomplete cache. Mailbox syncing normally.,Closed,Retail Banking,San Jose Office,United States,California
INC0004151,2025-02-08 09:26,Network,Connectivity,Network Operations,4 - Low,VPN authentication failed,Checked the connection; found a stale entry. updated the wireless driver and tested connectivity.,Fixed the DNS record. checked the switch port and verified the network drive maps.,Closed Complete,Manufacturing,San Jose Office,United States,California
INC0004209,2025-02-08 21:03,Security,Identity & Access,Service Desk,3 - Moderate,needs access - SSO,New starter needs the password. reset the password per the access request.,Resolved account locked after granted the requested permission. Access verified.,Resolved,Logistics & Supply Chain,Dallas Office,United States,Texas
INC0004237,2025-02-09 04:40,Network,Connectivity,Network Operations,3 - Moderate,Ethernet cannot reach network drive,Checked the connection; found a stale entry. moved the user to a clean access point and tested connectivity.,Resolved slow speeds after moved the user to a clean access point. Latency back to normal.,Resolved,Logistics & Supply Chain,Dallas Office,United States,Texas
INC0004030,2025-02-09 10:43,Hardware,Endpoint,Desktop Support,3 - Moderate,Replace battery - laptop,User reports headset running slow. Diagnostics flagged the USB port. reseated the RAM.,Replaced the fan and updated the display driver. Device passes diagnostics.,Closed Complete,Corporate Functions,Sydney Hub,Australia,New South Wales
INC0004020,2025-02-09 14:05,Hardware,Endpoint,Desktop Support,4 - Low,flickering screen on keyboard,User reports docking station blue screen. Diagnostics flagged the hard drive. reimaged the laptop.,"updated the display driver; webcam stable, running slow resolved.",Closed Complete,Manufacturing,Frankfurt DC,Germany,Hesse
INC0004285,2025-02-10 07:44,Security,Identity & Access,Service Desk,2 - High,User permission missing,New starter needs the role. verified identity per policy per the access request.,unlocked the account; user confirms login to VPN portal successful.,Closed Complete,Corporate Functions,Mumbai Campus,India,Maharashtra
INC0004308,2025-02-10 11:11,Hardware,Printing,Desktop Support,4 - Low,Cannot print to Xerox MFP - out of toner,Job stuck in the paper tray. cleared the print spooler and released the job successfully.,Replaced the spooler and cleared the print spooler. Printing restored.,Closed,Retail Banking,Toronto Office,Canada,Ontario
INC0004132,2025-02-10 18:51,Hardware,Cross-functional,Desktop Support,3 - Moderate,Network printer offline after switch maintenance,Printer showing offline. Suspected the DNS record. reseated the Ethernet cable then cleared the paper jam from the tray.,"reseated the Ethernet cable and cleared the paper jam from the tray. Printer back online, test page prints.",Closed,Manufacturing,Manchester Office,United Kingdom,England
INC0004065,2025-02-11 07:59,Security,Identity & Access,Service Desk,4 - Low,account locked - MFA,"User needs access. Verified identity, then verified identity per policy in Okta.",synced the account in Active Directory; user confirms login to SSO successful.,Closed,Manufacturing,Dallas Office,United States,Texas
INC0004002,2025-02-11 13:41,Security,Identity & Access,Service Desk,3 - Moderate,forgot password - Active Directory,MFA issue: forgot password. synced the account in Active Directory and tested a sign-in.,verified identity per policy; user confirms login to SSO successful.,Closed Complete,Logistics & Supply Chain,San Jose Office,United States,California
INC0004258,2025-02-11 20:38,Hardware,Printing,Desktop Support,2 - High,Cannot print to print server - offline status,Job stuck in the toner cartridge. cleared the paper jam from the tray and released the job successfully.,Replaced the print driver and replaced the toner cartridge. Printing restored.,Closed,Corporate Functions,Dallas Office,United States,Texas
INC0004187,2025-02-12 02:58,Security,Identity & Access,Service Desk,3 - Moderate,Request security group for new starter,MFA issue: forgot password. re-enrolled MFA and tested a sign-in.,reset the password; user confirms login to VPN portal successful.,Resolved,Healthcare Services,Toronto Office,Canada,Ontario
INC0004222,2025-02-12 03:28,Software,Email & Collaboration,Messaging Support,3 - Moderate,Microsoft 365 stuck in outbox,Verified the distribution list configuration. removed and re-added the account to resolve the sync error.,Resolved won't open after removed and re-added the account. Mailbox syncing normally.,Closed,Sales & Marketing,Toronto Office,Canada,Ontario
INC0004062,2025-02-12 05:39,Hardware,Endpoint,Desktop Support,2 - High,docking station loud fan noise,Laptop battery not charging. reimaged the laptop and ran a stress test.,Replaced the RAM and replaced the power adapter. Device passes diagnostics.,Closed,Healthcare Services,San Jose Office,United States,California
INC0004255,2025-02-12 19:37,Hardware,Endpoint,Desktop Support,4 - Low,RAM failure on docking station,"battery not charging when docked. Tested a known-good screen, then swapped the docking station.",Replaced the RAM and updated the display driver. Device passes diagnostics.,Closed Complete,Healthcare Services,Manchester Office,United Kingdom,England
INC0004194,2025-02-13 05:48,Hardware,Endpoint,Desktop Support,3 - Moderate,Replace USB port - headset,User reports webcam blue screen. Diagnostics flagged the display cable. reimaged the laptop.,Replaced the screen and ran hardware diagnostics. Device passes diagnostics.,Resolved,Retail Banking,Toronto Office,Canada,Ontario
INC0004124,2025-02-13 16:34,Software,Applications,Application Support,4 - Low,Chrome license expired,won't install traced to a corrupt add-in. cleared the application cache and tested launch.,disabled the conflicting add-in; Chrome launches without errors.,Closed Complete,Healthcare Services,London HQ,United Kingdom,England
INC0004078,2025-02-13 21:45,Hardware,Printing,Desktop Support,1 - Critical,print server prints blank pages,Driver mismatch causing error 49. set the correct default printer and printed a test page.,Cleared stuck in queue after power cycled the device. User confirms output is good.,Closed,Logistics & Supply Chain,Sydney Hub,Australia,New South Wales
INC0004141,2025-02-14 13:23,Security,Identity & Access,Service Desk,4 - Low,MFA not prompting - SSO,New starter needs the login. reset the password per the access request.,Resolved access denied after re-enrolled MFA. Access verified.,Resolved,Manufacturing,Frankfurt DC,Germany,Hesse
