ticket_id,opened_at,category,subcategory,assignment_group,priority,short_description,work_notes,close_notes,status,business_unit,location,country,state
INC0007183,2025-01-12 21:36,Hardware,Endpoint,Desktop Support,2 - High,Replace battery - keyboard,Hardware fault on the hard drive causing battery not charging. reseated the RAM.,Replaced the screen and cleaned the fan vents. Device passes diagnostics.,Closed,Retail Banking,San Jose Office,United States,California
INC0007075,2025-01-13 10:47,Network,Connectivity,Network Operations,4 - Low,User cannot connect on VPN,User no internet on VLAN. Ran tracert and saw high latency. reseated the Ethernet cable.,"checked the switch port; VLAN stable, user confirms connection restored.",Closed Complete,Manufacturing,San Jose Office,United States,California
INC0007065,2025-01-13 15:52,Software,Cross-functional,Application Support,2 - High,Outlook add-in for the line-of-business app missing,The contact add-in disappeared from Outlook. reinstalled the application to restore it.,reinstalled the application; the Outlook add-in loads and emails send. Resolved.,Resolved,Logistics & Supply Chain,Sydney Hub,Australia,New South Wales
INC0007153,2025-01-13 22:22,Software,Cross-functional,Application Support,1 - Critical,Outlook add-in for the line-of-business app missing,The shared inbox add-in disappeared from Outlook. repaired the installation to restore it.,repaired the installation; the Outlook add-in loads and emails send. Resolved.,Closed,Corporate Functions,London HQ,United Kingdom,England
INC0007212,2025-01-14 09:19,Security,Identity & Access,Service Desk,2 - High,Request role for new starter,New starter needs the license. granted the requested permission per the access request.,Resolved needs access after unlocked the account. Access verified.,Resolved,Manufacturing,Manchester Office,United Kingdom,England
INC0007215,2025-01-15 04:05,Software,Email & Collaboration,Messaging Support,2 - High,Request to add member to meeting invite,"Mailbox over quota causing missing emails. Archived old items, then recreated the Outlook profile.","Added user to the distribution list. Verified mail delivery, closing ticket.",Resolved,Logistics & Supply Chain,London HQ,United Kingdom,England
INC0007069,2025-01-15 14:37,Hardware,Endpoint,Desktop Support,3 - Moderate,running slow on docking station,User reports headset won't power on. Diagnostics flagged the fan. swapped the docking station.,"replaced the battery; monitor stable, no display resolved.",Closed Complete,Corporate Functions,Toronto Office,Canada,Ontario
INC0007001,2025-01-16 00:41,Network,Connectivity,Network Operations,4 - Low,Cannot map network drive,Checked the switch port; found a stale entry. updated the wireless driver and tested connectivity.,Fixed the IP address. reseated the Ethernet cable and verified the network drive maps.,Closed Complete,Healthcare Services,Mumbai Campus,India,Maharashtra
INC0007101,2025-01-16 02:48,Software,Cross-functional,Application Support,3 - Moderate,Outlook add-in for the line-of-business app missing,The signature add-in disappeared from Outlook. ran the installer as admin to restore it.,ran the installer as admin; the Outlook add-in loads and emails send. Resolved.,Closed Complete,Healthcare Services,Dallas Office,United States,Texas
INC0007076,2025-01-16 18:11,Software,Email & Collaboration,Messaging Support,4 - Low,User cannot access distribution list in Microsoft 365,User reports Exchange cannot receive. Confirmed mailbox is online. removed and re-added the account.,Resolved missing emails after removed and re-added the account. Mailbox syncing normally.,Closed Complete,Corporate Functions,Toronto Office,Canada,Ontario
INC0007155,2025-01-16 21:04,Software,Email & Collaboration,Messaging Support,3 - Moderate,User cannot access mailbox in Exchange,User reports Outlook won't open. Confirmed mailbox is online. reset the autocomplete cache.,checked Exchange mailbox quota; user confirms Microsoft 365 working and emails flowing.,Closed Complete,Manufacturing,New York Office,United States,New York
INC0007184,2025-01-20 06:21,Software,Cross-functional,Application Support,4 - Low,Outlook add-in for the line-of-business app missing,The calendar add-in disappeared from Outlook. reinstalled the application to restore it.,reinstalled the application; the Outlook add-in loads and emails send. Resolved.,Resolved,Sales & Marketing,New York Office,United States,New York
INC0007090,2025-01-20 09:19,Security,Identity & Access,Service Desk,3 - Moderate,Request security group for new starter,MFA issue: password expired. unlocked the account and tested a sign-in.,added the user to the security group; user confirms login to MFA successful.,Resolved,Sales & Marketing,Dallas Office,United States,Texas
INC0007017,2025-01-20 10:58,Software,Email & Collaboration,Messaging Support,3 - Moderate,User cannot access meeting invite in Exchange,User reports Teams cannot send. Confirmed mailbox is online. recreated the Outlook profile.,"Added user to the calendar. Verified mail delivery, closing ticket.",Resolved,Sales & Marketing,London HQ,United Kingdom,England
INC0007175,2025-01-20 17:26,Hardware,Printing,Desktop Support,4 - Low,Cannot print to HP LaserJet - offline status,Inspected the spooler. mapped the printer by IP to clear the out of toner.,"replaced the toner cartridge; test page prints clean, offline status resolved.",Closed Complete,Healthcare Services,London HQ,United Kingdom,England
INC0007203,2025-01-21 03:05,Hardware,Printing,Desktop Support,3 - Moderate,paper jam on HP LaserJet,Driver mismatch causing prints blank pages. mapped the printer by IP and printed a test page.,Replaced the default printer and restarted the print server. Printing restored.,Closed,Manufacturing,Dallas Office,United States,Texas
INC0007187,2025-01-21 13:24,Network,Cross-functional,Network Operations,3 - Moderate,VPN login failing - account and connection both checked,VPN password expired; suspected the account. re-enrolled MFA then updated the wireless driver on the VPN client.,re-enrolled MFA and updated the wireless driver. VPN connection authenticates. Closed.,Resolved,Healthcare Services,Sydney Hub,Australia,New South Wales
INC0007003,2025-01-21 15:07,Hardware,Endpoint,Desktop Support,3 - Moderate,keyboard running slow,Laptop flickering screen. reimaged the laptop and ran a stress test.,Replaced the fan and ran hardware diagnostics. Device passes diagnostics.,Resolved,Manufacturing,New York Office,United States,New York
INC0007032,2025-01-22 12:17,Hardware,Cross-functional,Desktop Support,1 - Critical,Network printer offline after switch maintenance,Printer showing offline. Suspected the access point. checked the switch port then cleared the paper jam from the tray.,"checked the switch port and cleared the paper jam from the tray. Printer back online, test page prints.",Closed,Retail Banking,Mumbai Campus,India,Maharashtra
INC0007182,2025-01-22 18:19,Network,Connectivity,Network Operations,4 - Low,VLAN cannot connect,Checked the switch port; found a stale entry. moved the user to a clean access point and tested connectivity.,"reset the network adapter; Ethernet stable, user confirms connection restored.",Closed Complete,Retail Banking,New York Office,United States,New York
INC0007209,2025-01-22 18:57,Hardware,Printing,Desktop Support,4 - Low,Replace print driver on print server,Job stuck in the print driver. restarted the print server and released the job successfully.,"set the correct default printer; test page prints clean, streaks on page resolved.",Closed,Corporate Functions,New York Office,United States,New York
INC0007049,2025-01-23 13:06,Hardware,Printing,Desktop Support,3 - Moderate,Replace fuser on Xerox MFP,Driver mismatch causing prints blank pages. set the correct default printer and printed a test page.,Cleared double-sided not working after reinstalled the print driver. User confirms output is good.,Closed Complete,Healthcare Services,Sydney Hub,Australia,New South Wales
INC0007033,2025-01-23 23:14,Software,Cross-functional,Application Support,3 - Moderate,Outlook add-in for the line-of-business app missing,The distribution list add-in disappeared from Outlook. ran the installer as admin to restore it.,ran the installer as admin; the Outlook add-in loads and emails send. Resolved.,Closed Complete,Corporate Functions,Dallas Office,United States,Texas
INC0007200,2025-01-24 01:52,Network,Connectivity,Network Operations,4 - Low,no internet over VLAN,Checked the VPN client; found a stale entry. checked the switch port and tested connectivity.,Resolved slow speeds after reset the network adapter. Latency back to normal.,Closed Complete,Healthcare Services,Dallas Office,United States,Texas
INC0007053,2025-01-24 08:34,Software,Email & Collaboration,Messaging Support,2 - High,User cannot access contact in Outlook Web App,Checked the meeting invite permissions in Exchange admin center. cleared the cache and tested.,"Added user to the signature. Verified mail delivery, closing ticket.",Resolved,Healthcare Services,Toronto Office,Canada,Ontario
INC0007144,2025-01-24 12:59,Security,Identity & Access,Service Desk,3 - Moderate,SSO password expired,MFA issue: account locked. granted the requested permission and tested a sign-in.,Resolved account locked after granted the requested permission. Access verified.,Closed,Retail Banking,Mumbai Campus,India,Maharashtra
INC0007129,2025-01-24 17:24,Hardware,Endpoint,Desktop Support,3 - Moderate,Replace fan - keyboard,Hardware fault on the hard drive causing overheating. updated the display driver.,Replaced the RAM and reseated the RAM. Device passes diagnostics.,Closed,Sales & Marketing,Dallas Office,United States,Texas
INC0007213,2025-01-24 19:02,Security,Identity & Access,Service Desk,4 - Low,cannot login - Okta,MFA issue: needs access. reset the MFA token and tested a sign-in.,unlocked the account; user confirms login to MFA successful.,Closed Complete,Sales & Marketing,Mumbai Campus,India,Maharashtra
INC0007194,2025-01-24 23:03,Hardware,Cross-functional,Desktop Support,2 - High,Network printer offline after switch maintenance,Printer showing offline. Suspected the DNS record. updated the wireless driver then mapped the printer by IP.,"updated the wireless driver and mapped the printer by IP. Printer back online, test page prints.",Closed,Retail Banking,New York Office,United States,New York
INC0007121,2025-01-25 00:53,Security,Cross-functional,Service Desk,2 - High,Password reset so user can sign into Outlook mailbox,User account locked and could not reach the Outlook mailbox. re-enrolled MFA and verified send-as permissions.,re-enrolled MFA; user signs in and the mailbox syncs. Resolved.,Closed,Sales & Marketing,Frankfurt DC,Germany,Hesse
INC0007157,2025-01-25 08:02,Software,Cross-functional,Application Support,3 - Moderate,Outlook add-in for the line-of-business app missing,The shared inbox add-in disappeared from Outlook. ran the installer as admin to restore it.,ran the installer as admin; the Outlook add-in loads and emails send. Resolved.,Closed Complete,Retail Banking,New York Office,United States,New York
INC0007091,2025-01-25 17:09,Hardware,Cross-functional,Desktop Support,2 - High,Network printer offline after switch maintenance,Printer showing offline. Suspected the DNS record. renewed the DHCP lease then restarted the print server.,"renewed the DHCP lease and restarted the print server. Printer back online, test page prints.",Closed Complete,Sales & Marketing,London HQ,United Kingdom,England
INC0007141,2025-01-25 19:42,Software,Email & Collaboration,Messaging Support,4 - Low,Request to add member to mailbox,Checked the distribution list permissions in Exchange admin center. reset the autocomplete cache and tested.,ran a repair on Office; user confirms Outlook Web App working and emails flowing.,Closed Complete,Logistics & Supply Chain,London HQ,United Kingdom,England
INC0007179,2025-01-26 18:56,Network,Connectivity,Network Operations,3 - Moderate,Cannot map DNS record,Checked the VPN client; found a stale entry. reseated the Ethernet cable and tested connectivity.,Fixed the IP address. updated the wireless driver and verified the network drive maps.,Closed Complete,Healthcare Services,Toronto Office,Canada,Ontario
INC0007168,2025-01-27 08:15,Security,Identity & Access,Service Desk,4 - Low,Request password for new starter,New starter needs the permission. reset the MFA token per the access request.,reset the MFA token; user confirms login to VPN portal successful.,Closed Complete,Sales & Marketing,Dallas Office,United States,Texas
INC0007031,2025-01-27 14:00,Software,Applications,Application Support,3 - Moderate,Zoom shortcut keeps crashing,Update missing add-in. ran the installer as admin and confirmed the app opens.,Applied the add-in and ran the installer as admin. Closing ticket.,Closed Complete,Healthcare Services,Toronto Office,Canada,Ontario
INC0007022,2025-01-28 22:00,Software,Applications,Application Support,3 - Moderate,won't install - the line-of-business app,"License request for Zoom. Verified entitlement, cleared the application cache.",Resolved won't install after pushed the update via SCCM. User confirms Chrome working.,Closed Complete,Healthcare Services,Mumbai Campus,India,Maharashtra
INC0007060,2025-01-29 00:47,Hardware,Endpoint,Desktop Support,2 - High,webcam flickering screen,User reports headset overheating. Diagnostics flagged the display cable. updated the display driver.,"replaced the battery; laptop stable, overheating resolved.",Closed,Logistics & Supply Chain,Toronto Office,Canada,Ontario
INC0007066,2025-01-29 12:46,Security,Identity & Access,Service Desk,3 - Moderate,Request password for new starter,account locked on the token. added the user to the security group and confirmed login works.,reset the MFA token; user confirms login to MFA successful.,Resolved,Manufacturing,San Jose Office,United States,California
INC0007156,2025-01-29 22:44,Security,Identity & Access,Service Desk,3 - Moderate,access denied - Active Directory,New starter needs the license. synced the account in Active Directory per the access request.,Granted permission and synced the account in Active Directory. Closing per requester confirmation.,Closed Complete,Sales & Marketing,Sydney Hub,Australia,New South Wales
INC0007177,2025-01-30 07:48,Security,Cross-functional,Service Desk,3 - Moderate,Password reset so user can sign into Outlook mailbox,User access denied and could not reach the Outlook mailbox. reset the password and reset the autocomplete cache.,reset the password; user signs in and the mailbox syncs. Resolved.,Closed,Healthcare Services,Toronto Office,Canada,Ontario
INC0007206,2025-01-31 18:51,Network,Connectivity,Network Operations,3 - Moderate,Cannot map connection,Wireless authentication failed traced to a weak IP address. updated the wireless driver.,Resolved high latency after reseated the Ethernet cable. Latency back to normal.,Resolved,Logistics & Supply Chain,Dallas Office,United States,Texas
INC0007088,2025-01-31 20:09,Software,Applications,Application Support,4 - Low,Zoom shortcut error on startup,"User reports SAP license expired. Reviewed logs, reinstalled the application.",Applied the add-in and cleared the application cache. Closing ticket.,Closed,Logistics & Supply Chain,Toronto Office,Canada,Ontario
INC0007111,2025-02-01 03:41,Hardware,Printing,Desktop Support,2 - High,Replace default printer on Xerox MFP,User reports paper jam on the print server. Found a default printer fault. set the correct default printer.,"replaced the toner cartridge; test page prints clean, out of toner resolved.",Closed Complete,Logistics & Supply Chain,Toronto Office,Canada,Ontario
INC0007047,2025-02-02 04:53,Security,Identity & Access,Service Desk,3 - Moderate,User forgot password,forgot password on the password. reset the MFA token and confirmed login works.,unlocked the account; user confirms login to SSO successful.,Closed,Logistics & Supply Chain,Toronto Office,Canada,Ontario
INC0007125,2025-02-03 08:49,Software,Email & Collaboration,Messaging Support,4 - Low,User cannot access signature in Microsoft 365,Verified the calendar configuration. verified send-as permissions to resolve the sync error.,reset the autocomplete cache; user confirms Microsoft 365 working and emails flowing.,Closed,Corporate Functions,Manchester Office,United Kingdom,England
INC0007051,2025-02-04 16:20,Hardware,Cross-functional,Desktop Support,3 - Moderate,New laptop cannot connect to Wi-Fi after reimage,"Reimaged laptop won't power on on Wi-Fi. Updated the wireless driver, reseated the Ethernet cable.","replaced the power adapter and reseated the Ethernet cable. Laptop online, user confirms connectivity.",Closed Complete,Corporate Functions,London HQ,United Kingdom,England
INC0007054,2025-02-05 01:33,Software,Email & Collaboration,Messaging Support,4 - Low,Request to add member to shared inbox,Checked the distribution list permissions in Exchange admin center. cleared the cache and tested.,Resolved not syncing after removed and re-added the account. Mailbox syncing normally.,Closed,Retail Banking,San Jose Office,United States,California
INC0007131,2025-02-06 09:54,Software,Email & Collaboration,Messaging Support,3 - Moderate,Request to add member to mailbox,Verified the mailbox configuration. ran a repair on Office to resolve the sync error.,rebuilt the OST file; user confirms Teams working and emails flowing.,Closed,Healthcare Services,San Jose Office,United States,California
INC0007021,2025-02-06 13:06,Software,Email & Collaboration,Messaging Support,3 - Moderate,Request to add member to meeting invite,Verified the meeting invite configuration. reset the autocomplete cache to resolve the sync error.,Resolved cannot receive after recreated the Outlook profile. Mailbox syncing normally.,Closed,Sales & Marketing,London HQ,United Kingdom,England
INC0007100,2025-02-07 09:25,Security,Cross-functional,Service Desk,3 - Moderate,Password reset so user can sign into Outlook mailbox,User MFA not prompting and could not reach the Outlook mailbox. reset the MFA token and reset the autocomplete cache.,reset the MFA token; user signs in and the mailbox syncs. Resolved.,Closed Complete,Corporate Functions,San Jose Office,United States,California
INC0007078,2025-02-07 16:31,Software,Applications,Application Support,3 - Moderate,Chrome missing add-in,Update keeps crashing. cleared the application cache and confirmed the app opens.,Applied the add-in and disabled the conflicting add-in. Closing ticket.,Resolved,Retail Banking,London HQ,United Kingdom,England
INC0007143,2025-02-08 20:06,Hardware,Endpoint,Desktop Support,2 - High,Replace screen - webcam,User reports docking station battery not charging. Diagnostics flagged the power adapter. ran hardware diagnostics.,Fixed loud fan noise after reimaged the laptop. User confirms webcam working.,Resolved,Healthcare Services,San Jose Office,United States,California
INC0007192,2025-02-09 11:57,Security,Cross-functional,Service Desk,1 - Critical,Password reset so user can sign into Outlook mailbox,User permission missing and could not reach the Outlook mailbox. synced the account in Active Directory and reset the autocomplete cache.,synced the account in Active Directory; user signs in and the mailbox syncs. Resolved.,Closed Complete,Corporate Functions,Sydney Hub,Australia,New South Wales
INC0007019,2025-02-10 07:31,Software,Email & Collaboration,Messaging Support,2 - High,Outlook Web App not syncing,User reports Microsoft 365 cannot receive. Confirmed mailbox is online. removed and re-added the account.,"Added user to the signature. Verified mail delivery, closing ticket.",Closed,Retail Banking,New York Office,United States,New York
INC0007174,2025-02-12 07:32,Hardware,Endpoint,Desktop Support,3 - Moderate,Replace power adapter - headset,User reports webcam loud fan noise. Diagnostics flagged the screen. cleaned the fan vents.,Replaced the screen and swapped the docking station. Device passes diagnostics.,Closed Complete,Manufacturing,Manchester Office,United Kingdom,England
INC0007109,2025-02-12 10:15,Security,Cross-functional,Service Desk,1 - Critical,Password reset so user can sign into Outlook mailbox,User needs access and could not reach the Outlook mailbox. reset the password and rebuilt the OST file.,reset the password; user signs in and the mailbox syncs. Resolved.,Closed Complete,Logistics & Supply Chain,Dallas Office,United States,Texas
INC0007191,2025-02-12 13:18,Software,Applications,Application Support,3 - Moderate,Install request for Zoom,slow to load traced to a corrupt add-in. reinstalled the application and tested launch.,Resolved license expired after recreated the user profile. User confirms Zoom working.,Closed,Manufacturing,London HQ,United Kingdom,England
INC0007134,2025-02-12 21:22,Hardware,Printing,Desktop Support,4 - Low,Replace toner cartridge on network printer,Driver mismatch causing error 49. set the correct default printer and printed a test page.,Replaced the print driver and mapped the printer by IP. Printing restored.,Closed Complete,Logistics & Supply Chain,Manchester Office,United Kingdom,England
INC0007167,2025-02-16 05:12,Hardware,Endpoint,Desktop Support,3 - Moderate,Replace screen - headset,Laptop battery not charging. swapped the docking station and ran a stress test.,"updated the display driver; monitor stable, flickering screen resolved.",Resolved,Healthcare Services,Frankfurt DC,Germany,Hesse
INC0007081,2025-02-16 14:21,Hardware,Printing,Desktop Support,3 - Moderate,Cannot print to HP LaserJet - error 49,Inspected the print queue. reinstalled the print driver to clear the streaks on page.,Replaced the print queue and reinstalled the print driver. Printing restored.,Resolved,Retail Banking,Manchester Office,United Kingdom,England
INC0007180,2025-02-18 02:07,Hardware,Cross-functional,Desktop Support,3 - Moderate,New laptop cannot connect to Wi-Fi after reimage,"Reimaged laptop battery not charging on Wi-Fi. Updated the wireless driver, moved the user to a clean access point.","cleaned the fan vents and moved the user to a clean access point. Laptop online, user confirms connectivity.",Resolved,Logistics & Supply Chain,Toronto Office,Canada,Ontario
INC0007012,2025-02-20 06:27,Hardware,Endpoint,Desktop Support,4 - Low,Replace battery - keyboard,Laptop running slow. ran hardware diagnostics and ran a stress test.,Replaced the power adapter and reimaged the laptop. Device passes diagnostics.,Resolved,Healthcare Services,Dallas Office,United States,Texas
INC0007068,2025-02-20 08:42,Security,Identity & Access,Service Desk,2 - High,access denied - VPN portal,needs access on the security group. reset the password and confirmed login works.,Resolved needs access after reset the password. Access verified.,Closed Complete,Retail Banking,New York Office,United States,New York
INC0007024,2025-02-20 13:00,Software,Applications,Application Support,4 - Low,the line-of-business app update license expired,"User reports Adobe Acrobat slow to load. Reviewed logs, reapplied the license key.",pushed the update via SCCM; Adobe Acrobat launches without errors.,Closed,Corporate Functions,Manchester Office,United Kingdom,England
INC0007038,2025-02-20 13:52,Hardware,Endpoint,Desktop Support,3 - Moderate,Replace fan - headset,Hardware fault on the USB port causing won't power on. replaced the battery.,Fixed loud fan noise after cleaned the fan vents. User confirms keyboard working.,Closed Complete,Manufacturing,Manchester Office,United Kingdom,England
INC0007204,2025-02-22 13:08,Network,Connectivity,Network Operations,2 - High,User no internet on firewall,Checked the switch port; found a stale entry. reset the network adapter and tested connectivity.,Fixed the VPN client. reset the network adapter and verified the network drive maps.,Resolved,Sales & Marketing,Sydney Hub,Australia,New South Wales
INC0007169,2025-02-22 17:10,Network,Connectivity,Network Operations,3 - Moderate,DNS high latency,Checked the DHCP lease; found a stale entry. reconnected the VPN client and tested connectivity.,"flushed the DNS cache; DNS stable, user confirms connection restored.",Closed,Logistics & Supply Chain,London HQ,United Kingdom,England
INC0007181,2025-02-22 19:00,Network,Connectivity,Network Operations,3 - Moderate,intermittent drops over Ethernet,"VPN authentication failed. Verified credentials, flushed the DNS cache.",Fixed the VPN client. renewed the DHCP lease and verified the network drive maps.,Closed Complete,Logistics & Supply Chain,London HQ,United Kingdom,England
INC0007218,2025-02-22 20:13,Hardware,Endpoint,Desktop Support,3 - Moderate,flickering screen on webcam,"overheating when docked. Tested a known-good RAM, then swapped the docking station.",Fixed running slow after ran hardware diagnostics. User confirms webcam working.,Closed Complete,Manufacturing,San Jose Office,United States,California
INC0007178,2025-02-23 05:23,Software,Applications,Application Support,3 - Moderate,Install request for Zoom,slow to load traced to a corrupt shortcut. recreated the user profile and tested launch.,Applied the add-in and recreated the user profile. Closing ticket.,Resolved,Corporate Functions,Manchester Office,United Kingdom,England
INC0007201,2025-02-23 20:57,Software,Cross-functional,Application Support,3 - Moderate,Outlook add-in for the line-of-business app missing,The distribution list add-in disappeared from Outlook. ran the installer as admin to restore it.,ran the installer as admin; the Outlook add-in loads and emails send. Resolved.,Closed,Manufacturing,San Jose Office,United States,California
INC0007205,2025-02-24 07:03,Network,Cross-functional,Network Operations,3 - Moderate,VPN login failing - account and connection both checked,VPN MFA not prompting; suspected the account. reset the password then reset the network adapter on the VPN client.,reset the password and reset the network adapter. VPN connection authenticates. Closed.,Closed Complete,Logistics & Supply Chain,Dallas Office,United States,Texas
INC0007057,2025-02-24 16:15,Software,Email & Collaboration,Messaging Support,2 - High,Request to add member to meeting invite,Verified the distribution list configuration. recreated the Outlook profile to resolve the sync error.,"Added user to the distribution list. Verified mail delivery, closing ticket.",Resolved,Retail Banking,San Jose Office,United States,California
INC0007083,2025-02-24 16:25,Software,Applications,Application Support,3 - Moderate,Install request for Excel,error on startup traced to a corrupt license. cleared the application cache and tested launch.,Resolved slow to load after reapplied the license key. User confirms Zoom working.,Closed,Healthcare Services,Toronto Office,Canada,Ontario
INC0007161,2025-02-25 06:50,Network,Cross-functional,Network Operations,2 - High,VPN login failing - account and connection both checked,VPN account locked; suspected the account. granted the requested permission then reseated the Ethernet cable on the VPN client.,granted the requested permission and reseated the Ethernet cable. VPN connection authenticates. Closed.,Resolved,Retail Banking,London HQ,United Kingdom,England
INC0007099,2025-02-26 00:14,Hardware,Endpoint,Desktop Support,2 - High,Replace hard drive - docking station,Laptop running slow. reimaged the laptop and ran a stress test.,"cleaned the fan vents; laptop stable, won't power on resolved.",Resolved,Healthcare Services,San Jose Office,United States,California
INC0007084,2025-02-26 00:40,Hardware,Cross-functional,Desktop Support,3 - Moderate,New laptop cannot connect to Wi-Fi after reimage,"Reimaged laptop overheating on Wi-Fi. Updated the wireless driver, reseated the Ethernet cable.","ran hardware diagnostics and reseated the Ethernet cable. Laptop online, user confirms connectivity.",Closed Complete,Sales & Marketing,Toronto Office,Canada,Ontario
INC0007028,2025-02-26 21:25,Hardware,Endpoint,Desktop Support,3 - Moderate,display cable failure on docking station,"flickering screen when docked. Tested a known-good battery, then reimaged the laptop.",Replaced the fan and cleaned the fan vents. Device passes diagnostics.,Resolved,Healthcare Services,San Jose Office,United States,California
INC0007105,2025-02-27 05:18,Software,Applications,Application Support,3 - Moderate,Install request for Excel,"User reports Adobe Acrobat won't install. Reviewed logs, disabled the conflicting add-in.",recreated the user profile; Zoom launches without errors.,Closed Complete,Healthcare Services,London HQ,United Kingdom,England
INC0007173,2025-02-27 17:36,Security,Identity & Access,Service Desk,2 - High,User password expired,New starter needs the password. re-enrolled MFA per the access request.,reset the password; user confirms login to VPN portal successful.,Resolved,Manufacturing,London HQ,United Kingdom,England
INC0007151,2025-02-28 02:34,Network,Connectivity,Network Operations,3 - Moderate,User intermittent drops on VPN,Checked the access point; found a stale entry. renewed the DHCP lease and tested connectivity.,Fixed the network drive. moved the user to a clean access point and verified the network drive maps.,Closed Complete,Retail Banking,London HQ,United Kingdom,England
INC0007106,2025-02-28 02:36,Hardware,Printing,Desktop Support,2 - High,Replace paper tray on follow-me printing,Inspected the toner cartridge. set the correct default printer to clear the double-sided not working.,Cleared offline status after replaced the toner cartridge. User confirms output is good.,Closed Complete,Manufacturing,San Jose Office,United States,California
INC0007166,2025-02-28 20:46,Hardware,Printing,Desktop Support,3 - Moderate,Cannot print to HP LaserJet - paper jam,Job stuck in the fuser. replaced the toner cartridge and released the job successfully.,Replaced the print queue and set the correct default printer. Printing restored.,Closed Complete,Retail Banking,Manchester Office,United Kingdom,England
