ticket_id,opened_at,category,subcategory,assignment_group,priority,short_description,work_notes,close_notes,status,business_unit,location,country,state
INC0001074,2025-01-31 09:10,Software,Cross-functional,Application Support,2 - High,Outlook add-in for the line-of-business app missing,The mailbox add-in disappeared from Outlook. recreated the user profile to restore it.,recreated the user profile; the Outlook add-in loads and emails send. Resolved.,Closed,Healthcare Services,Sydney Hub,Australia,New South Wales
INC0001026,2025-01-31 12:33,Security,Identity & Access,Service Desk,3 - Moderate,User needs access,MFA issue: access denied. reset the MFA token and tested a sign-in.,Resolved needs access after verified identity per policy. Access verified.,Closed,Manufacturing,Frankfurt DC,Germany,Hesse
INC0001055,2025-02-01 16:09,Network,Connectivity,Network Operations,4 - Low,VLAN high latency,Wireless dropping connection traced to a weak VPN client. reconnected the VPN client.,Resolved authentication failed after flushed the DNS cache. Latency back to normal.,Closed Complete,Logistics & Supply Chain,Manchester Office,United Kingdom,England
INC0001057,2025-02-02 08:04,Hardware,Cross-functional,Desktop Support,4 - Low,New laptop cannot connect to Wi-Fi after reimage,"Reimaged laptop flickering screen on Wi-Fi. Updated the wireless driver, checked the switch port.","cleaned the fan vents and checked the switch port. Laptop online, user confirms connectivity.",Closed,Healthcare Services,Sydney Hub,Australia,New South Wales
INC0001039,2025-02-02 10:56,Hardware,Printing,Desktop Support,1 - Critical,stuck in queue on Xerox MFP,User reports stuck in queue on the print server. Found a spooler fault. set the correct default printer.,Replaced the fuser and power cycled the device. Printing restored.,Closed,Logistics & Supply Chain,London HQ,United Kingdom,England
INC0001082,2025-02-03 06:22,Network,Connectivity,Network Operations,3 - Moderate,firewall no internet,Wireless cannot connect traced to a weak access point. flushed the DNS cache.,"checked the switch port; VLAN stable, user confirms connection restored.",Closed Complete,Manufacturing,Manchester Office,United Kingdom,England
INC0001019,2025-02-04 07:32,Software,Email & Collaboration,Messaging Support,3 - Moderate,Exchange keeps crashing,"Mailbox over quota causing keeps crashing. Archived old items, then recreated the Outlook profile.","Added user to the signature. Verified mail delivery, closing ticket.",Closed,Manufacturing,San Jose Office,United States,California
INC0001066,2025-02-06 22:01,Software,Email & Collaboration,Messaging Support,2 - High,Request to add member to rule,Checked the calendar permissions in Exchange admin center. reset the autocomplete cache and tested.,"Added user to the contact. Verified mail delivery, closing ticket.",Closed Complete,Manufacturing,Manchester Office,United Kingdom,England
INC0001070,2025-02-08 03:34,Network,Connectivity,Network Operations,4 - Low,Cannot map DNS record,User dropping connection on Ethernet. Ran tracert and saw high latency. reseated the Ethernet cable.,Fixed the switch port. reconnected the VPN client and verified the network drive maps.,Closed,Healthcare Services,Dallas Office,United States,Texas
INC0001063,2025-02-12 13:08,Hardware,Printing,Desktop Support,4 - Low,Cannot print to Xerox MFP - out of toner,Inspected the print driver. set the correct default printer to clear the prints blank pages.,Cleared offline status after reinstalled the print driver. User confirms output is good.,Resolved,Logistics & Supply Chain,London HQ,United Kingdom,England
INC0001058,2025-02-14 11:27,Hardware,Printing,Desktop Support,3 - Moderate,Replace paper tray on print server,Inspected the spooler. mapped the printer by IP to clear the stuck in queue.,"reinstalled the print driver; test page prints clean, out of toner resolved.",Closed,Retail Banking,Toronto Office,Canada,Ontario
INC0001006,2025-02-15 06:13,Hardware,Printing,Desktop Support,3 - Moderate,network printer out of toner,Job stuck in the fuser. set the correct default printer and released the job successfully.,Replaced the paper tray and cleared the print spooler. Printing restored.,Closed Complete,Healthcare Services,Manchester Office,United Kingdom,England
INC0001048,2025-02-21 19:32,Security,Identity & Access,Service Desk,4 - Low,User forgot password,MFA issue: MFA not prompting. added the user to the security group and tested a sign-in.,Resolved access denied after reset the MFA token. Access verified.,Closed Complete,Sales & Marketing,Frankfurt DC,Germany,Hesse
INC0001083,2025-02-22 17:13,Hardware,Printing,Desktop Support,4 - Low,Cannot print to print server - out of toner,User reports double-sided not working on the print server. Found a print driver fault. reinstalled the print driver.,Cleared offline status after reinstalled the print driver. User confirms output is good.,Closed Complete,Manufacturing,Sydney Hub,Australia,New South Wales
INC0001033,2025-02-26 05:50,Network,Connectivity,Network Operations,3 - Moderate,authentication failed over VPN,Checked the DHCP lease; found a stale entry. updated the wireless driver and tested connectivity.,"checked the switch port; VPN stable, user confirms connection restored.",Closed Complete,Manufacturing,New York Office,United States,New York
INC0001036,2025-02-27 02:17,Security,Identity & Access,Service Desk,3 - Moderate,password expired - MFA,MFA issue: account locked. re-enrolled MFA and tested a sign-in.,added the user to the security group; user confirms login to VPN portal successful.,Closed,Logistics & Supply Chain,Sydney Hub,Australia,New South Wales
INC0001049,2025-03-01 04:41,Network,Connectivity,Network Operations,1 - Critical,Cannot map connection,Wireless cannot connect traced to a weak VPN client. reset the network adapter.,Fixed the IP address. renewed the DHCP lease and verified the network drive maps.,Resolved,Retail Banking,Mumbai Campus,India,Maharashtra
INC0001084,2025-03-01 22:31,Hardware,Printing,Desktop Support,4 - Low,prints blank pages on network printer,Inspected the toner cartridge. power cycled the device to clear the offline status.,Cleared out of toner after reinstalled the print driver. User confirms output is good.,Resolved,Healthcare Services,Toronto Office,Canada,Ontario
INC0001088,2025-03-02 07:52,Security,Identity & Access,Service Desk,3 - Moderate,permission missing - Active Directory,MFA issue: forgot password. re-enrolled MFA and tested a sign-in.,Resolved needs access after re-enrolled MFA. Access verified.,Resolved,Sales & Marketing,Sydney Hub,Australia,New South Wales
INC0001022,2025-03-03 15:17,Network,Connectivity,Network Operations,3 - Moderate,User cannot connect on firewall,"VPN authentication failed. Verified credentials, checked the switch port.",Fixed the access point. reset the network adapter and verified the network drive maps.,Resolved,Logistics & Supply Chain,Frankfurt DC,Germany,Hesse
INC0001009,2025-03-04 01:54,Network,Connectivity,Network Operations,3 - Moderate,Cannot map DNS record,Wireless cannot connect traced to a weak DNS record. renewed the DHCP lease.,"flushed the DNS cache; VLAN stable, user confirms connection restored.",Closed,Retail Banking,Frankfurt DC,Germany,Hesse
INC0001013,2025-03-04 10:09,Hardware,Cross-functional,Desktop Support,3 - Moderate,Network printer offline after switch maintenance,Printer showing offline. Suspected the network drive. reconnected the VPN client then cleared the paper jam from the tray.,"reconnected the VPN client and cleared the paper jam from the tray. Printer back online, test page prints.",Closed Complete,Logistics & Supply Chain,New York Office,United States,New York
INC0001079,2025-03-04 18:51,Security,Identity & Access,Service Desk,4 - Low,Request account for new starter,New starter needs the token. unlocked the account per the access request.,Resolved permission missing after reset the MFA token. Access verified.,Resolved,Logistics & Supply Chain,Dallas Office,United States,Texas
INC0001045,2025-03-05 06:08,Security,Identity & Access,Service Desk,3 - Moderate,User cannot login,"User permission missing. Verified identity, then reset the password in SSO.",Granted role and unlocked the account. Closing per requester confirmation.,Resolved,Manufacturing,San Jose Office,United States,California
INC0001040,2025-03-06 00:14,Software,Email & Collaboration,Messaging Support,2 - High,Microsoft 365 won't open,Verified the distribution list configuration. reset the autocomplete cache to resolve the sync error.,checked Exchange mailbox quota; user confirms Exchange working and emails flowing.,Resolved,Corporate Functions,Manchester Office,United Kingdom,England
INC0001086,2025-03-06 01:43,Hardware,Printing,Desktop Support,3 - Moderate,Cannot print to network printer - streaks on page,Job stuck in the fuser. cleared the paper jam from the tray and released the job successfully.,Cleared prints blank pages after mapped the printer by IP. User confirms output is good.,Closed Complete,Retail Banking,London HQ,United Kingdom,England
INC0001041,2025-03-07 08:56,Security,Identity & Access,Service Desk,3 - Moderate,Request account for new starter,New starter needs the token. reset the MFA token per the access request.,Granted license and reset the password. Closing per requester confirmation.,Closed,Manufacturing,Sydney Hub,Australia,New South Wales
INC0001068,2025-03-09 20:30,Software,Email & Collaboration,Messaging Support,3 - Moderate,User cannot access shared inbox in Outlook,Checked the meeting invite permissions in Exchange admin center. verified send-as permissions and tested.,Resolved duplicate emails after rebuilt the OST file. Mailbox syncing normally.,Resolved,Sales & Marketing,Manchester Office,United Kingdom,England
INC0001081,2025-03-11 12:21,Security,Identity & Access,Service Desk,2 - High,forgot password - Active Directory,"User account locked. Verified identity, then re-enrolled MFA in Okta.",reset the MFA token; user confirms login to Okta successful.,Closed Complete,Sales & Marketing,London HQ,United Kingdom,England
INC0001008,2025-03-13 09:53,Network,Connectivity,Network Operations,2 - High,slow speeds over firewall,User high latency on firewall. Ran tracert and saw high latency. updated the wireless driver.,Fixed the access point. reset the network adapter and verified the network drive maps.,Closed Complete,Healthcare Services,New York Office,United States,New York
INC0001059,2025-03-15 04:07,Software,Email & Collaboration,Messaging Support,3 - Moderate,Outlook duplicate emails for user signature,User reports Microsoft 365 duplicate emails. Confirmed mailbox is online. rebuilt the OST file.,"Added user to the shared inbox. Verified mail delivery, closing ticket.",Closed,Manufacturing,Manchester Office,United Kingdom,England
INC0001069,2025-03-17 16:55,Hardware,Printing,Desktop Support,3 - Moderate,error 49 on Xerox MFP,User reports error 49 on the Xerox MFP. Found a fuser fault. mapped the printer by IP.,"mapped the printer by IP; test page prints clean, error 49 resolved.",Closed,Manufacturing,Frankfurt DC,Germany,Hesse
INC0001027,2025-03-18 07:52,Security,Identity & Access,Service Desk,3 - Moderate,User MFA not prompting,MFA issue: forgot password. reset the MFA token and tested a sign-in.,Granted license and reset the password. Closing per requester confirmation.,Resolved,Retail Banking,London HQ,United Kingdom,England
INC0001054,2025-03-19 19:29,Software,Email & Collaboration,Messaging Support,4 - Low,Request to add member to shared inbox,"Mailbox over quota causing keeps crashing. Archived old items, then rebuilt the OST file.","Added user to the shared inbox. Verified mail delivery, closing ticket.",Closed,Manufacturing,London HQ,United Kingdom,England
INC0001005,2025-03-20 08:42,Hardware,Printing,Desktop Support,4 - Low,Cannot print to HP LaserJet - double-sided not working,Inspected the toner cartridge. replaced the toner cartridge to clear the prints blank pages.,Cleared stuck in queue after set the correct default printer. User confirms output is good.,Closed Complete,Manufacturing,Toronto Office,Canada,Ontario
INC0001011,2025-03-20 15:04,Software,Email & Collaboration,Messaging Support,2 - High,User cannot access rule in Teams,Checked the rule permissions in Exchange admin center. rebuilt the OST file and tested.,Resolved not syncing after recreated the Outlook profile. Mailbox syncing normally.,Closed,Corporate Functions,New York Office,United States,New York
INC0001012,2025-03-21 07:39,Hardware,Printing,Desktop Support,4 - Low,HP LaserJet paper jam,Driver mismatch causing error 49. power cycled the device and printed a test page.,"cleared the print spooler; test page prints clean, streaks on page resolved.",Closed Complete,Retail Banking,Sydney Hub,Australia,New South Wales
INC0001076,2025-03-25 11:22,Hardware,Cross-functional,Desktop Support,4 - Low,New laptop cannot connect to Wi-Fi after reimage,"Reimaged laptop battery not charging on Wi-Fi. Updated the wireless driver, reseated the Ethernet cable.","cleaned the fan vents and reseated the Ethernet cable. Laptop online, user confirms connectivity.",Closed Complete,Sales & Marketing,Sydney Hub,Australia,New South Wales
INC0001021,2025-03-26 17:09,Hardware,Cross-functional,Desktop Support,3 - Moderate,Network printer offline after switch maintenance,Printer showing offline. Suspected the VPN client. reseated the Ethernet cable then mapped the printer by IP.,"reseated the Ethernet cable and mapped the printer by IP. Printer back online, test page prints.",Closed,Sales & Marketing,San Jose Office,United States,California
INC0001071,2025-03-27 00:13,Hardware,Cross-functional,Desktop Support,3 - Moderate,New laptop cannot connect to Wi-Fi after reimage,"Reimaged laptop battery not charging on Wi-Fi. Updated the wireless driver, reset the network adapter.","reimaged the laptop and reset the network adapter. Laptop online, user confirms connectivity.",Resolved,Manufacturing,New York Office,United States,New York
INC0001023,2025-03-27 18:11,Hardware,Printing,Desktop Support,3 - Moderate,offline status on network printer,Job stuck in the print driver. cleared the paper jam from the tray and released the job successfully.,"reinstalled the print driver; test page prints clean, double-sided not working resolved.",Resolved,Healthcare Services,Toronto Office,Canada,Ontario
INC0001056,2025-03-28 22:32,Software,Email & Collaboration,Messaging Support,3 - Moderate,User cannot access mailbox in Teams,Verified the mailbox configuration. verified send-as permissions to resolve the sync error.,Resolved cannot send after rebuilt the OST file. Mailbox syncing normally.,Closed,Sales & Marketing,Frankfurt DC,Germany,Hesse
INC0001004,2025-03-29 20:58,Network,Connectivity,Network Operations,2 - High,User slow speeds on Wi-Fi,Checked the DHCP lease; found a stale entry. moved the user to a clean access point and tested connectivity.,Fixed the DNS record. renewed the DHCP lease and verified the network drive maps.,Closed,Manufacturing,London HQ,United Kingdom,England
INC0001053,2025-03-29 21:59,Security,Identity & Access,Service Desk,3 - Moderate,User permission missing,New starter needs the token. verified identity per policy per the access request.,Resolved password expired after synced the account in Active Directory. Access verified.,Closed Complete,Retail Banking,Frankfurt DC,Germany,Hesse
INC0001015,2025-03-30 18:16,Software,Email & Collaboration,Messaging Support,2 - High,User cannot access contact in Teams,User reports Outlook Web App missing emails. Confirmed mailbox is online. cleared the cache.,Resolved cannot receive after recreated the Outlook profile. Mailbox syncing normally.,Closed Complete,Manufacturing,Sydney Hub,Australia,New South Wales
INC0001067,2025-03-31 09:23,Software,Email & Collaboration,Messaging Support,3 - Moderate,Outlook cannot receive for user calendar,Verified the mailbox configuration. removed and re-added the account to resolve the sync error.,Resolved cannot receive after cleared the cache. Mailbox syncing normally.,Closed,Retail Banking,Mumbai Campus,India,Maharashtra
INC0001032,2025-03-31 23:03,Network,Connectivity,Network Operations,3 - Moderate,cannot reach network drive over VPN,"VPN authentication failed. Verified credentials, renewed the DHCP lease.",Resolved cannot reach network drive after reset the network adapter. Latency back to normal.,Resolved,Manufacturing,San Jose Office,United States,California
INC0001051,2025-04-01 14:10,Hardware,Printing,Desktop Support,4 - Low,offline status on print server,Inspected the toner cartridge. power cycled the device to clear the out of toner.,Replaced the fuser and mapped the printer by IP. Printing restored.,Closed,Logistics & Supply Chain,New York Office,United States,New York
INC0001085,2025-04-03 11:19,Security,Identity & Access,Service Desk,4 - Low,password expired - Okta,MFA issue: cannot login. re-enrolled MFA and tested a sign-in.,re-enrolled MFA; user confirms login to SSO successful.,Resolved,Corporate Functions,Dallas Office,United States,Texas
INC0001080,2025-04-06 21:42,Network,Connectivity,Network Operations,4 - Low,Cannot map switch port,Wireless no internet traced to a weak network drive. moved the user to a clean access point.,Resolved high latency after updated the wireless driver. Latency back to normal.,Resolved,Retail Banking,Mumbai Campus,India,Maharashtra
INC0001090,2025-04-07 03:06,Security,Identity & Access,Service Desk,1 - Critical,Request license for new starter,New starter needs the account. verified identity per policy per the access request.,Granted login and unlocked the account. Closing per requester confirmation.,Resolved,Manufacturing,Dallas Office,United States,Texas
INC0001002,2025-04-08 07:55,Hardware,Printing,Desktop Support,4 - Low,Replace paper tray on HP LaserJet,Job stuck in the toner cartridge. cleared the paper jam from the tray and released the job successfully.,"set the correct default printer; test page prints clean, out of toner resolved.",Closed,Manufacturing,Frankfurt DC,Germany,Hesse
INC0001044,2025-04-08 18:20,Software,Email & Collaboration,Messaging Support,2 - High,Teams won't open for user rule,Verified the meeting invite configuration. verified send-as permissions to resolve the sync error.,Resolved keeps crashing after verified send-as permissions. Mailbox syncing normally.,Closed,Retail Banking,Toronto Office,Canada,Ontario
INC0001062,2025-04-09 14:28,Software,Cross-functional,Application Support,2 - High,Outlook add-in for the line-of-business app missing,The mailbox add-in disappeared from Outlook. ran the installer as admin to restore it.,ran the installer as admin; the Outlook add-in loads and emails send. Resolved.,Closed Complete,Retail Banking,London HQ,United Kingdom,England
INC0001073,2025-04-09 18:52,Security,Identity & Access,Service Desk,2 - High,User account locked,"User access denied. Verified identity, then reset the MFA token in SSO.",synced the account in Active Directory; user confirms login to MFA successful.,Closed,Corporate Functions,Frankfurt DC,Germany,Hesse
INC0001010,2025-04-09 22:22,Security,Identity & Access,Service Desk,2 - High,User access denied,MFA issue: password expired. reset the MFA token and tested a sign-in.,Resolved permission missing after reset the password. Access verified.,Closed Complete,Retail Banking,Manchester Office,United Kingdom,England
INC0001061,2025-04-12 21:42,Security,Identity & Access,Service Desk,3 - Moderate,User forgot password,"User account locked. Verified identity, then unlocked the account in Okta.",Resolved permission missing after verified identity per policy. Access verified.,Resolved,Corporate Functions,San Jose Office,United States,California
INC0001007,2025-04-14 02:03,Network,Connectivity,Network Operations,2 - High,Cannot map DHCP lease,Checked the network drive; found a stale entry. reset the network adapter and tested connectivity.,"reseated the Ethernet cable; Ethernet stable, user confirms connection restored.",Resolved,Retail Banking,London HQ,United Kingdom,England
INC0001025,2025-04-16 01:41,Hardware,Printing,Desktop Support,4 - Low,Replace toner cartridge on print server,Inspected the toner cartridge. reinstalled the print driver to clear the double-sided not working.,Cleared stuck in queue after mapped the printer by IP. User confirms output is good.,Resolved,Retail Banking,Sydney Hub,Australia,New South Wales
INC0001077,2025-04-17 05:07,Software,Cross-functional,Application Support,4 - Low,Outlook add-in for the line-of-business app missing,The meeting invite add-in disappeared from Outlook. disabled the conflicting add-in to restore it.,disabled the conflicting add-in; the Outlook add-in loads and emails send. Resolved.,Resolved,Healthcare Services,New York Office,United States,New York
INC0001060,2025-04-17 14:21,Network,Connectivity,Network Operations,3 - Moderate,Cannot map connection,Checked the access point; found a stale entry. reseated the Ethernet cable and tested connectivity.,"flushed the DNS cache; Wi-Fi stable, user confirms connection restored.",Closed,Retail Banking,London HQ,United Kingdom,England
INC0001072,2025-04-20 04:12,Security,Identity & Access,Service Desk,4 - Low,Request role for new starter,permission missing on the account. synced the account in Active Directory and confirmed login works.,Granted password and unlocked the account. Closing per requester confirmation.,Closed,Logistics & Supply Chain,San Jose Office,United States,California
INC0001024,2025-04-21 03:08,Security,Identity & Access,Service Desk,3 - Moderate,User password expired,account locked on the license. added the user to the security group and confirmed login works.,synced the account in Active Directory; user confirms login to SSO successful.,Resolved,Logistics & Supply Chain,Sydney Hub,Australia,New South Wales
INC0001030,2025-04-21 16:18,Hardware,Cross-functional,Desktop Support,3 - Moderate,New laptop cannot connect to Wi-Fi after reimage,"Reimaged laptop running slow on Wi-Fi. Updated the wireless driver, reset the network adapter.","cleaned the fan vents and reset the network adapter. Laptop online, user confirms connectivity.",Resolved,Sales & Marketing,Manchester Office,United Kingdom,England
INC0001050,2025-04-21 20:11,Hardware,Printing,Desktop Support,2 - High,Cannot print to Xerox MFP - error 49,Job stuck in the default printer. restarted the print server and released the job successfully.,"restarted the print server; test page prints clean, double-sided not working resolved.",Closed Complete,Retail Banking,Frankfurt DC,Germany,Hesse
INC0001034,2025-04-22 04:51,Network,Connectivity,Network Operations,3 - Moderate,User intermittent drops on Ethernet,Wireless cannot connect traced to a weak network drive. reseated the Ethernet cable.,"reset the network adapter; VLAN stable, user confirms connection restored.",Closed Complete,Manufacturing,Mumbai Campus,India,Maharashtra
INC0001065,2025-04-23 12:49,Software,Email & Collaboration,Messaging Support,3 - Moderate,Microsoft 365 duplicate emails for user shared inbox,User reports Teams cannot receive. Confirmed mailbox is online. removed and re-added the account.,Resolved keeps crashing after rebuilt the OST file. Mailbox syncing normally.,Closed,Corporate Functions,San Jose Office,United States,California
INC0001035,2025-04-23 15:56,Network,Connectivity,Network Operations,4 - Low,no internet over Ethernet,Wireless intermittent drops traced to a weak IP address. renewed the DHCP lease.,"updated the wireless driver; firewall stable, user confirms connection restored.",Closed,Sales & Marketing,London HQ,United Kingdom,England
INC0001003,2025-04-26 05:43,Software,Email & Collaboration,Messaging Support,4 - Low,Exchange cannot receive,"Mailbox over quota causing stuck in outbox. Archived old items, then recreated the Outlook profile.","Added user to the contact. Verified mail delivery, closing ticket.",Closed,Manufacturing,Toronto Office,Canada,Ontario
INC0001037,2025-04-26 17:02,Hardware,Printing,Desktop Support,4 - Low,Replace paper tray on print server,Driver mismatch causing paper jam. reinstalled the print driver and printed a test page.,"cleared the paper jam from the tray; test page prints clean, out of toner resolved.",Closed,Sales & Marketing,Dallas Office,United States,Texas
INC0001075,2025-04-27 04:14,Software,Email & Collaboration,Messaging Support,4 - Low,User cannot access calendar in Microsoft 365,Verified the rule configuration. rebuilt the OST file to resolve the sync error.,Resolved cannot receive after removed and re-added the account. Mailbox syncing normally.,Closed Complete,Manufacturing,Dallas Office,United States,Texas
INC0001042,2025-04-29 16:19,Security,Identity & Access,Service Desk,4 - Low,User MFA not prompting,MFA issue: access denied. re-enrolled MFA and tested a sign-in.,Resolved needs access after unlocked the account. Access verified.,Closed,Logistics & Supply Chain,Manchester Office,United Kingdom,England
INC0001046,2025-04-29 19:03,Software,Email & Collaboration,Messaging Support,4 - Low,Request to add member to rule,User reports Outlook Web App keeps crashing. Confirmed mailbox is online. rebuilt the OST file.,Resolved cannot send after cleared the cache. Mailbox syncing normally.,Closed Complete,Retail Banking,San Jose Office,United States,California
INC0001001,2025-05-02 17:41,Hardware,Cross-functional,Desktop Support,1 - Critical,New laptop cannot connect to Wi-Fi after reimage,"Reimaged laptop battery not charging on Wi-Fi. Updated the wireless driver, flushed the DNS cache.","updated the display driver and flushed the DNS cache. Laptop online, user confirms connectivity.",Closed,Corporate Functions,New York Office,United States,New York
INC0001020,2025-05-03 02:40,Network,Connectivity,Network Operations,4 - Low,Ethernet intermittent drops,User no internet on firewall. Ran tracert and saw high latency. reseated the Ethernet cable.,Resolved authentication failed after reset the network adapter. Latency back to normal.,Resolved,Healthcare Services,London HQ,United Kingdom,England
INC0001028,2025-05-03 08:12,Security,Identity & Access,Service Desk,2 - High,SSO access denied,New starter needs the role. reset the MFA token per the access request.,Resolved account locked after reset the password. Access verified.,Resolved,Healthcare Services,New York Office,United States,New York
INC0001078,2025-05-05 22:55,Network,Connectivity,Network Operations,2 - High,User high latency on firewall,"VPN authentication failed. Verified credentials, flushed the DNS cache.",Fixed the connection. reset the network adapter and verified the network drive maps.,Closed,Retail Banking,New York Office,United States,New York
